,NiftyReturns,OilReturns,CopperReturns,GoldReturns,SilverReturns,AluminiumReturns
nobs,2932,2932,2932,2932,2932,2932
NAs,0,0,0,0,0,0
Minimum,-0.129805,-3.008357,-0.064568,-0.079102,-0.112211,-0.089813
Maximum,0.087632,0.459085,0.077251,0.05698,0.092629,0.111194
1. Quartile,-0.003479,-0.003953,-0.005987,-0.004128,-0.006566,-0.006056
3. Quartile,0.005121,0.011168,0.006409,0.004574,0.006785,0.005865
Mean,0.000586,0.001964,0.000226,0.000234,0.000156,0.000219
Median,0.00052,0.002916,0.00022,0.00023,0.00015,2.00E-04
Sum,1.718724,5.757614,0.663771,0.687342,0.457372,0.642926
SE Mean,0.000181,0.001135,0.000214,0.00016,0.000276,0.000215
LCL Mean,0.000232,-0.000262,-0.000194,-7.90E-05,-0.000385,-0.000203
UCL Mean,0.000941,0.00419,0.000646,0.000548,0.000697,0.000642
Variance,9.60E-05,0.003779,0.000135,7.50E-05,0.000223,0.000136
Stdev,0.009786,0.061474,0.011598,0.008661,0.014937,0.011666
Skewness,-1.014701,-39.864479,0.035916,-0.124268,-0.19016,0.413569
Kurtosis,19.317559,1960.407102,2.893969,6.906319,6.936298,7.29834